Symbol,Trade DATE,NOCP
AAPL,5/9/2019,200.72
AAPL,5/8/2019,202.9
AAPL,5/7/2019,202.86
AAPL,5/6/2019,208.48
AAPL,5/3/2019,211.75
AAPL,5/2/2019,209.15
AAPL,5/1/2019,210.52
AAPL,4/30/2019,200.67
AAPL,4/29/2019,204.61
AAPL,4/26/2019,204.3
AAPL,4/25/2019,205.28
AAPL,4/24/2019,207.16
AAPL,4/23/2019,207.48
AAPL,4/22/2019,204.53
AAPL,4/18/2019,203.86
AAPL,4/17/2019,203.13
AAPL,4/16/2019,199.25
AAPL,4/15/2019,199.23
AAPL,4/12/2019,198.87
AAPL,4/11/2019,198.95
AAPL,4/10/2019,200.62
AAPL,4/9/2019,199.5
AAPL,4/8/2019,200.1
AAPL,4/5/2019,197
AAPL,4/4/2019,195.69
AAPL,4/3/2019,195.35
AAPL,4/2/2019,194.02
AAPL,4/1/2019,191.24
AAPL,3/29/2019,189.95
AAPL,3/28/2019,188.72
AAPL,3/27/2019,188.47
AAPL,3/26/2019,186.79
AAPL,3/25/2019,188.74
AAPL,3/22/2019,191.05
AAPL,3/21/2019,195.09
AAPL,3/20/2019,188.16
AAPL,3/19/2019,186.53
AAPL,3/18/2019,188.02
AAPL,3/15/2019,186.12
AAPL,3/14/2019,183.73
AAPL,3/13/2019,181.71
AAPL,3/12/2019,180.91
AAPL,3/11/2019,178.9
AAPL,3/8/2019,172.91
AAPL,3/7/2019,172.5
AAPL,3/6/2019,174.52
AAPL,3/5/2019,175.53
AAPL,3/4/2019,175.85
AAPL,3/1/2019,174.97
AAPL,2/28/2019,173.15
AAPL,2/27/2019,174.87
AAPL,2/26/2019,174.33
AAPL,2/25/2019,174.23
AAPL,2/22/2019,172.97
AAPL,2/21/2019,171.06
AAPL,2/20/2019,172.03
AAPL,2/19/2019,170.93
AAPL,2/15/2019,170.42
AAPL,2/14/2019,170.8
AAPL,2/13/2019,170.18
AAPL,2/12/2019,170.89
AAPL,2/11/2019,169.43
AAPL,2/8/2019,170.41
AAPL,2/7/2019,170.94
AAPL,2/6/2019,174.24
AAPL,2/5/2019,174.18
AAPL,2/4/2019,171.25
AAPL,2/1/2019,166.52
AAPL,1/31/2019,166.44
AAPL,1/30/2019,165.25
AAPL,1/29/2019,154.68
AAPL,1/28/2019,156.3
AAPL,1/25/2019,157.76
AAPL,1/24/2019,152.7
AAPL,1/23/2019,153.92
AAPL,1/22/2019,153.3
AAPL,1/18/2019,156.82
AAPL,1/17/2019,155.86
AAPL,1/16/2019,154.94
AAPL,1/15/2019,153.07
AAPL,1/14/2019,150
AAPL,1/11/2019,152.29
AAPL,1/10/2019,153.8
AAPL,1/9/2019,153.31
AAPL,1/8/2019,150.75
AAPL,1/7/2019,147.93
AAPL,1/4/2019,148.26
AAPL,1/3/2019,142.19
AAPL,1/2/2019,157.92
AAPL,12/31/2018,157.74
AAPL,12/28/2018,156.23
AAPL,12/27/2018,156.15
AAPL,12/26/2018,157.17
AAPL,12/24/2018,146.83
AAPL,12/21/2018,150.73
AAPL,12/20/2018,156.83
AAPL,12/19/2018,160.89
AAPL,12/18/2018,166.07
AAPL,12/17/2018,163.94
AAPL,12/14/2018,165.48
AAPL,12/13/2018,170.95
AAPL,12/12/2018,169.1
AAPL,12/11/2018,168.63
AAPL,12/10/2018,169.6
AAPL,12/7/2018,168.49
AAPL,12/6/2018,174.72
AAPL,12/4/2018,176.69
AAPL,12/3/2018,184.82
AAPL,11/30/2018,178.58
AAPL,11/29/2018,179.55
AAPL,11/28/2018,180.94
AAPL,11/27/2018,174.24
AAPL,11/26/2018,174.62
AAPL,11/23/2018,172.29
AAPL,11/21/2018,176.78
AAPL,11/20/2018,176.98
AAPL,11/19/2018,185.86
AAPL,11/16/2018,193.53
