Symbol,Trade DATE,NOCP
GOOG,5/9/2019,1162.38
GOOG,5/8/2019,1166.27
GOOG,5/7/2019,1174.1
GOOG,5/6/2019,1189.39
GOOG,5/3/2019,1185.4
GOOG,5/2/2019,1162.61
GOOG,5/1/2019,1168.08
GOOG,4/30/2019,1188.48
GOOG,4/29/2019,1287.58
GOOG,4/26/2019,1272.18
GOOG,4/25/2019,1263.45
GOOG,4/24/2019,1256
GOOG,4/23/2019,1264.55
GOOG,4/22/2019,1248.84
GOOG,4/18/2019,1236.37
GOOG,4/17/2019,1236.34
GOOG,4/16/2019,1227.13
GOOG,4/15/2019,1221.1
GOOG,4/12/2019,1217.87
GOOG,4/11/2019,1204.62
GOOG,4/10/2019,1202.16
GOOG,4/9/2019,1197.25
GOOG,4/8/2019,1203.84
GOOG,4/5/2019,1207.15
GOOG,4/4/2019,1215
GOOG,4/3/2019,1205.92
GOOG,4/2/2019,1200.49
GOOG,4/1/2019,1194.43
GOOG,3/29/2019,1173.31
GOOG,3/28/2019,1168.49
GOOG,3/27/2019,1173.02
GOOG,3/26/2019,1184.62
GOOG,3/25/2019,1193
GOOG,3/22/2019,1205.5
GOOG,3/21/2019,1231.54
GOOG,3/20/2019,1223.97
GOOG,3/19/2019,1198.85
GOOG,3/18/2019,1184.26
GOOG,3/15/2019,1184.46
GOOG,3/14/2019,1185.55
GOOG,3/13/2019,1193.32
GOOG,3/12/2019,1193.2
GOOG,3/11/2019,1175.76
GOOG,3/8/2019,1142.32
GOOG,3/7/2019,1143.3
GOOG,3/6/2019,1157.86
GOOG,3/5/2019,1162.03
GOOG,3/4/2019,1147.8
GOOG,3/1/2019,1140.99
GOOG,2/28/2019,1119.92
GOOG,2/27/2019,1116.05
GOOG,2/26/2019,1115.13
GOOG,2/25/2019,1109.4
GOOG,2/22/2019,1110.37
GOOG,2/21/2019,1096.97
GOOG,2/20/2019,1113.8
GOOG,2/19/2019,1118.56
GOOG,2/15/2019,1113.65
GOOG,2/14/2019,1121.67
GOOG,2/13/2019,1120.16
GOOG,2/12/2019,1121.37
GOOG,2/11/2019,1095.01
GOOG,2/8/2019,1095.06
GOOG,2/7/2019,1098.71
GOOG,2/6/2019,1115.23
GOOG,2/5/2019,1145.99
GOOG,2/4/2019,1132.8
GOOG,2/1/2019,1110.75
GOOG,1/31/2019,1116.37
GOOG,1/30/2019,1089.06
GOOG,1/29/2019,1060.62
GOOG,1/28/2019,1070.08
GOOG,1/25/2019,1090.99
GOOG,1/24/2019,1073.9
GOOG,1/23/2019,1075.57
GOOG,1/22/2019,1070.52
GOOG,1/18/2019,1098.26
GOOG,1/17/2019,1089.9
GOOG,1/16/2019,1080.97
GOOG,1/15/2019,1077.15
GOOG,1/14/2019,1044.69
GOOG,1/11/2019,1057.19
GOOG,1/10/2019,1070.33
GOOG,1/9/2019,1074.66
GOOG,1/8/2019,1076.28
GOOG,1/7/2019,1068.39
GOOG,1/4/2019,1070.71
GOOG,1/3/2019,1016.06
GOOG,1/2/2019,1045.85
GOOG,12/31/2018,1035.61
GOOG,12/28/2018,1037.08
GOOG,12/27/2018,1043.88
GOOG,12/26/2018,1039.46
GOOG,12/24/2018,976.22
GOOG,12/21/2018,979.54
GOOG,12/20/2018,1009.41
GOOG,12/19/2018,1023.01
GOOG,12/18/2018,1028.71
GOOG,12/17/2018,1016.53
GOOG,12/14/2018,1042.1
GOOG,12/13/2018,1061.9
GOOG,12/12/2018,1063.68
GOOG,12/11/2018,1051.75
GOOG,12/10/2018,1039.55
GOOG,12/7/2018,1036.58
GOOG,12/6/2018,1068.73
GOOG,12/4/2018,1050.82
GOOG,12/3/2018,1106.43
GOOG,11/30/2018,1094.43
GOOG,11/29/2018,1088.3
GOOG,11/28/2018,1086.23
GOOG,11/27/2018,1044.41
GOOG,11/26/2018,1048.62
GOOG,11/23/2018,1023.88
GOOG,11/21/2018,1037.61
GOOG,11/20/2018,1025.76
GOOG,11/19/2018,1020
GOOG,11/16/2018,1061.49
GOOG,11/15/2018,1064.71
GOOG,11/14/2018,1043.66
GOOG,11/13/2018,1036.05
GOOG,11/12/2018,1038.63
GOOG,11/9/2018,1066.15
GOOG,11/8/2018,1082.4
GOOG,11/7/2018,1093.39
GOOG,11/6/2018,1055.81
GOOG,11/5/2018,1040.09
GOOG,11/2/2018,1057.79
GOOG,11/1/2018,1070
GOOG,10/31/2018,1076.77
GOOG,10/30/2018,1036.21
GOOG,10/29/2018,1020.08
GOOG,10/26/2018,1071.47
GOOG,10/25/2018,1095.57
GOOG,10/24/2018,1050.71
GOOG,10/23/2018,1103.69
GOOG,10/22/2018,1101.16
GOOG,10/19/2018,1096.46
GOOG,10/18/2018,1087.97
GOOG,10/17/2018,1115.69
GOOG,10/16/2018,1121.28
GOOG,10/15/2018,1092.25
GOOG,10/12/2018,1110.08
GOOG,10/11/2018,1079.32
GOOG,10/10/2018,1081.22
